id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_division,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_division,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes
252442132,2005,1,regular,2005-09-01T23:00:00.000Z,,false,false,0,3854,Nippert Stadium,2132,Cincinnati,Big East,fbs,28,14,0,7,7,,1539,1535,2199,Eastern Michigan,Mid-American,fbs,26,10,10,0,6,,1201,1205,,,
252440248,2005,1,regular,2005-09-01T23:00:00.000Z,,false,false,0,,,248,Houston,Conference USA,fbs,24,21,0,0,3,,1361,1345,2483,Oregon,Pac-10,fbs,38,14,3,14,7,,1527,1543,,,AT RELIANT STADIUM
252442717,2005,1,regular,2005-09-01T23:00:00.000Z,false,false,false,,3704,E. J. Whitmire Stadium,2717,Western Carolina,Southern,fcs,21,7,0,0,14,,,,2369,Mars Hill,,,7,0,7,0,0,,,,,,
252440154,2005,1,regular,2005-09-01T23:00:00.000Z,,false,false,0,3630,BB&T Field,154,Wake Forest,ACC,fbs,20,3,3,7,7,,1457,1446,238,Vanderbilt,SEC,fbs,24,3,7,7,7,,1385,1396,,,
252440276,2005,1,regular,2005-09-01T23:00:00.000Z,false,false,false,25102,3775,Joan C. Edwards Stadium,276,Marshall,Conference USA,fbs,36,10,13,6,7,,,,2729,William & Mary,Atlantic 10,fcs,24,3,7,14,0,,,,,,
252442546,2005,1,regular,2005-09-01T23:00:00.000Z,false,true,false,,3758,Houck Stadium,2546,Southeast Missouri State,OVC,fcs,23,0,10,7,6,,,,79,Southern Illinois,MVFC,fcs,58,23,14,0,21,,,,,,
252440119,2005,1,regular,2005-09-01T23:00:00.000Z,false,false,false,,3781,Johnny Unitas Stadium,119,Towson,Atlantic 10,fcs,29,7,6,6,10,,,,2415,Morgan State,MEAC,fcs,26,7,13,6,0,,,,,,
252440257,2005,1,regular,2005-09-01T23:00:00.000Z,false,true,true,,,,257,Richmond,Atlantic 10,fcs,6,0,0,6,0,,,,113,UMass,Atlantic 10,fcs,19,9,7,0,3,,,,,,
252442534,2005,1,regular,2005-09-01T23:00:00.000Z,false,false,false,,3647,Bowers Stadium,2534,Sam Houston State,Southland,fcs,77,14,28,14,21,,,,487,Bacone College,,,7,0,0,0,7,,,,,,
252442649,2005,1,regular,2005-09-01T23:00:00.000Z,false,false,false,20092,3739,Glass Bowl,2649,Toledo,Mid-American,fbs,62,13,28,14,7,,,,2710,Western Illinois,MVFC,fcs,14,0,0,0,14,,,,,,
