id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_division,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_division,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes
242410193,2004,1,regular,2004-08-28T23:00:00.000Z,false,false,false,0,3996,Yager Stadium,193,Miami (OH),Mid-American,fbs,49,14,28,7,0,,,,282,Indiana State,MVFC,fcs,0,0,0,0,0,,,,,,
242412535,2004,1,regular,2004-08-28T23:00:00.000Z,false,true,false,,,,2535,Samford,OVC,fcs,34,0,12,7,15,,,,2695,West Alabama,,,20,0,10,0,10,,,,,,
242410093,2004,1,regular,2004-08-28T23:00:00.000Z,false,false,false,,3909,Roy Stewart Stadium,93,Murray State,OVC,fcs,56,21,7,14,14,,,,2249,Glenville State,,,3,0,0,0,3,,,,,,
242410259,2004,1,regular,2004-08-28T23:40:00.000Z,,false,true,91665,,,259,Virginia Tech,ACC,fbs,13,3,7,0,3,,1748,1740,30,USC,Pac-10,fbs,24,7,0,7,10,,1925,1933,,,BCA CLASSIC AT LANDOVER MD
242462275,2004,2,regular,2004-09-02T23:00:00.000Z,false,true,false,,,,2275,Hofstra,Atlantic 10,fcs,45,14,24,7,0,,,,399,Albany,NEC,fcs,0,0,0,0,0,,,,,,
242460048,2004,2,regular,2004-09-02T23:00:00.000Z,false,true,true,,,,48,Delaware,Atlantic 10,fcs,21,0,3,12,6,,,,160,New Hampshire,Atlantic 10,fcs,24,7,0,10,7,,,,,,
242462623,2004,2,regular,2004-09-02T23:00:00.000Z,false,true,false,,,,2623,Missouri State,MVFC,fcs,31,3,7,7,14,,,,2181,Drake,Pioneer,fcs,26,7,6,7,6,,,,,,
242460222,2004,2,regular,2004-09-02T23:00:00.000Z,false,true,false,,,,222,Villanova,Atlantic 10,fcs,20,0,13,7,0,,,,2083,Bucknell,Patriot,fcs,14,0,0,0,14,,,,,,
242462717,2004,2,regular,2004-09-02T23:00:00.000Z,false,false,false,,3704,E. J. Whitmire Stadium,2717,Western Carolina,Southern,fcs,77,7,36,20,14,,,,2707,WV State,,,7,0,0,0,7,,,,,,
242462199,2004,2,regular,2004-09-02T23:00:00.000Z,,false,true,0,3912,Rynearson Stadium,2199,Eastern Michigan,Mid-American,fbs,37,14,13,3,7,,1219,1219,2084,Buffalo,Mid-American,fbs,34,7,14,7,6,,1172,1172,,,
242462754,2004,2,regular,2004-09-02T23:30:00.000Z,false,false,false,,844,Stambaugh Stadium,2754,Youngstown State,MVFC,fcs,35,0,0,21,14,,,,215,Slippery Rock,,,13,0,6,0,7,,,,,,
242460254,2004,2,regular,2004-09-02T23:30:00.000Z,,false,false,0,587,Rice-Eccles Stadium,254,Utah,Mountain West,fbs,41,7,20,7,7,,1629,1653,245,Texas A&M,Big 12,fbs,21,0,7,0,14,,1399,1375,,,
242462447,2004,2,regular,2004-09-02T23:30:00.000Z,false,false,false,,3779,Manning Field at John L. Guidry Stadium,2447,Nicholls,Southland,fcs,37,14,16,7,0,,,,331,Eastern Washington,Big Sky,fcs,14,0,0,7,7,,,,,,
242462545,2004,2,regular,2004-09-03T00:00:00.000Z,false,false,false,,3944,Strawberry Stadium,2545,Southeastern Louisiana,FCS Independents,fcs,46,7,39,0,0,,,,2028,Arkansas-Monticello,,,32,7,25,0,0,,,,,,
242462050,2004,2,regular,2004-09-03T00:00:00.000Z,,false,false,0,3919,Scheumann Stadium,2050,Ball State,Mid-American,fbs,11,5,6,0,0,,1289,1300,103,Boston College,Big East,fbs,19,6,6,7,0,,1647,1636,,,
242462287,2004,2,regular,2004-09-03T00:00:00.000Z,false,false,false,,3744,Hancock Stadium,2287,Illinois State,MVFC,fcs,44,14,20,3,7,,,,2615,St. Xavier (IL),,,14,0,0,0,14,,,,,,
242462711,2004,2,regular,2004-09-03T00:00:00.000Z,false,false,false,21643,3980,Waldo Stadium,2711,Western Michigan,Mid-American,fbs,42,14,21,7,0,,,,2630,UT Martin,OVC,fcs,0,0,0,0,0,,,,,,
242462617,2004,2,regular,2004-09-03T00:00:00.000Z,false,false,false,,3756,Homer Bryce Stadium,2617,Stephen F. Austin,Southland,fcs,30,13,3,0,14,,,,2271,Henderson State,,,14,0,7,0,7,,,,,,
242460079,2004,2,regular,2004-09-03T00:00:00.000Z,false,true,false,,,,79,Southern Illinois,MVFC,fcs,42,7,7,14,14,,,,2546,Southeast Missouri State,OVC,fcs,3,3,0,0,0,,,,,,
242462628,2004,2,regular,2004-09-03T01:30:00.000Z,,false,true,0,3616,Amon G. Carter Stadium,2628,TCU,Conference USA,fbs,48,14,14,3,14,,1592,1591,77,Northwestern,Big Ten,fbs,45,0,14,17,14,,1425,1426,,,
242460009,2004,2,regular,2004-09-03T02:00:00.000Z,,false,false,0,3947,Sun Devil Stadium,9,Arizona State,Pac-10,fbs,41,3,21,10,7,,1517,1554,2638,UTEP,Western Athletic,fbs,9,0,6,0,3,,1094,1057,,,
242462502,2004,2,regular,2004-09-03T02:05:00.000Z,false,true,false,,,,2502,Portland State,Big Sky,fcs,38,7,17,7,7,,,,2714,Western State,,,0,0,0,0,0,,,,,,
242470167,2004,2,regular,2004-09-04T00:00:00.000Z,,false,true,0,3971,University Stadium,167,New Mexico,Mountain West,fbs,17,0,0,14,3,,1557,1561,265,Washington State,Pac-10,fbs,21,0,0,7,14,,1715,1711,,,
242480130,2004,2,regular,2004-09-04T16:00:00.000Z,,false,false,0,3558,Michigan Stadium,130,Michigan,Big Ten,fbs,43,0,10,14,19,,1841,1930,193,Miami (OH),Mid-American,fbs,10,0,0,3,7,,1824,1735,,,
242480275,2004,2,regular,2004-09-04T16:00:00.000Z,,false,false,0,347,Camp Randall Stadium,275,Wisconsin,Big Ten,fbs,34,10,10,7,7,,1637,1675,2116,UCF,Mid-American,fbs,6,3,0,3,0,,1332,1294,,,
242480194,2004,2,regular,2004-09-04T16:00:00.000Z,,false,true,0,3861,Ohio Stadium,194,Ohio State,Big Ten,fbs,27,0,10,7,10,,1735,1759,2132,Cincinnati,Conference USA,fbs,6,0,3,3,0,,1482,1458,,,
242482005,2004,2,regular,2004-09-04T16:00:00.000Z,,false,true,0,3713,Falcon Stadium,2005,Air Force,Mountain West,fbs,14,7,7,0,0,,1515,1417,25,California,Pac-10,fbs,56,14,7,14,21,,1720,1818,,,
242482294,2004,2,regular,2004-09-04T16:00:00.000Z,,false,false,0,3793,Kinnick Stadium,2294,Iowa,Big Ten,fbs,39,10,13,10,6,,1781,1815,2309,Kent State,Mid-American,fbs,7,0,7,0,0,,1330,1296,,,
