id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_division,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_division,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes
401426532,2022,1,regular,2022-08-27T16:00:00.000Z,false,false,false,,3796,Houchens Industries-L. T. Smith Stadium,98,Western Kentucky,Conference USA,fbs,38,7,14,0,17,0.9542764266226265,1684,1684,2046,Austin Peay,Atlantic Sun,fcs,27,10,7,3,7,0.04572357337737354,,,2.6135509766,,
401405059,2022,1,regular,2022-08-27T16:30:00.000Z,false,true,true,,3504,Aviva Stadium,77,Northwestern,Big Ten,fbs,31,3,14,7,7,0.5475434597351944,1361,1381,158,Nebraska,Big Ten,fbs,28,7,7,14,0,0.45245654026480564,1636,1616,8.3493556676,,
401439512,2022,1,regular,2022-08-27T19:00:00.000Z,false,true,false,,,,125762,Florida Memorial University,,,39,13,13,6,7,,,,2206,Edward Waters,SIAC,ii,34,0,0,21,13,,,,,,
401413213,2022,1,regular,2022-08-27T19:30:00.000Z,false,true,false,,3689,Cramton Bowl,55,Jacksonville State,Atlantic Sun,fcs,42,7,14,21,0,0.9988170830316713,,,2617,Stephen F. Austin,Western Athletic,fcs,17,7,10,0,0,0.0011829169683287288,,,5.2414690984,,FCS Kickoff
401413256,2022,1,regular,2022-08-27T19:30:00.000Z,false,false,false,,6501,Allegiant Stadium,2439,UNLV,Mountain West,fbs,52,10,35,0,7,,1300,1300,304,Idaho State,Big Sky,fcs,21,7,0,7,7,,,,,,
401405058,2022,1,regular,2022-08-27T20:00:00.000Z,false,false,false,,3832,Memorial Stadium,356,Illinois,Big Ten,fbs,38,7,10,7,14,0.9974722912053572,1496,1584,2751,Wyoming,Mountain West,fbs,6,3,0,3,0,0.0025277087946428134,1497,1409,2.5714169140,,
401404146,2022,1,regular,2022-08-27T20:00:00.000Z,false,false,false,,3905,Romney Stadium,328,Utah State,Mountain West,fbs,31,0,24,0,7,0.9891655857079721,1566,1555,41,Connecticut,FBS Independents,fbs,20,14,0,0,6,0.010834414292027916,1117,1128,4.5637067523,,
401411090,2022,1,regular,2022-08-27T21:00:00.000Z,false,false,false,,3697,Bobby Bowden Field at Doak Campbell Stadium,52,Florida State,ACC,fbs,47,20,6,14,7,0.9989422079694538,1501,1501,2184,Duquesne,NEC,fcs,7,0,0,7,0,0.001057792030546234,,,1.0589535880,,
401426530,2022,1,regular,2022-08-27T23:00:00.000Z,false,false,true,,3715,FAU Stadium,2226,Florida Atlantic,Conference USA,fbs,43,10,16,7,10,0.9988415542177018,1427,1488,2429,Charlotte,Conference USA,fbs,13,7,0,6,0,0.0011584457822981786,1272,1211,6.6262524505,,
401422922,2022,1,regular,2022-08-27T23:00:00.000Z,false,false,false,,4417,Five Star Stadium at the Moye Complex,2382,Mercer,Southern,fcs,63,14,28,14,7,0.9989681925900179,,,2413,Morehead State,Pioneer,fcs,13,0,10,3,0,0.0010318074099820995,,,1.1544784977,,
401423448,2022,1,regular,2022-08-27T23:00:00.000Z,false,true,false,,4246,Georgia State Stadium,2011,Alabama State,SWAC,fcs,23,6,7,7,3,0.9706268530036973,,,47,Howard,MEAC,fcs,13,3,3,0,7,0.029373146996302668,,,5.8728268228,,Cricket MEAC/SWAC Challenge Kickoff
401411091,2022,1,regular,2022-08-28T00:15:00.000Z,false,false,false,,3787,Kenan Memorial Stadium,153,North Carolina,ACC,fbs,56,14,14,7,21,0.9637007807373211,1555,1555,50,Florida A&M,SWAC,fcs,24,7,7,10,0,0.03629921926267887,,,1.2411118443,,
401426531,2022,1,regular,2022-08-28T01:00:00.000Z,false,false,true,,3946,Sun Bowl Stadium,2638,UTEP,Conference USA,fbs,13,0,13,0,0,0.004746335356215618,1360,1323,249,North Texas,Conference USA,fbs,31,0,14,14,3,0.9952536646437844,1426,1463,4.1152955946,,
401409235,2022,1,regular,2022-08-28T02:00:00.000Z,false,false,false,,3601,Aggie Memorial Stadium,166,New Mexico State,FBS Independents,fbs,12,0,2,7,3,0.13436970618775704,1184,1192,2440,Nevada,Mountain West,fbs,23,0,17,0,6,0.865630293812243,1564,1556,3.8315877915,,
401403853,2022,1,regular,2022-08-28T02:30:00.000Z,false,false,false,,7220,Clarence T.C. Ching Athletics Complex,62,Hawai'i,Mountain West,fbs,10,7,3,0,0,0.0003589600988952661,1432,1223,238,Vanderbilt,SEC,fbs,63,14,7,35,7,0.9996410399011048,1222,1431,2.4199370723,,
401437007,2022,1,regular,2022-09-01T18:00:00.000Z,false,false,false,,6059,Sanchez Family Stadium,2424,New Mexico Highlands,Rocky Mountain,ii,18,0,3,7,8,,,,2201,Eastern New Mexico,Lone Star,ii,34,3,7,17,7,,,,,,
401433043,2022,1,regular,2022-09-01T21:30:00.000Z,false,false,false,,6071,Jess Dow Field,2583,Southern Connecticut State,Northeast 10,ii,7,0,0,7,0,,,,2974,Shepherd,Pennsylvania State Athletic,ii,48,14,13,21,0,,,,,,
401432134,2022,1,regular,2022-09-01T22:00:00.000Z,false,false,false,,4437,"Memorial Stadium (Clarion, PA)",2134,Clarion,Pennsylvania State Athletic,ii,14,7,0,7,0,,,,2699,West Liberty,Mountain East,ii,21,7,14,0,0,,,,,,
401430716,2022,1,regular,2022-09-01T22:00:00.000Z,false,false,false,,6221,Mitchell Stadium,124180,Bluefield,Independent DII,ii,35,7,3,10,7,,,,2304,Johnson C Smith,CIAA,ii,34,7,13,7,0,,,,,,
401430722,2022,1,regular,2022-09-01T22:00:00.000Z,false,false,false,,6078,Pioneer Field (TN),2839,Tusculum,South Atlantic,ii,70,14,21,21,14,,,,395,St. Augustine's,CIAA,ii,13,0,6,0,7,,,,,,
401431542,2022,1,regular,2022-09-01T22:00:00.000Z,false,false,false,,3927,Sherman Field,2392,Michigan Tech,GLIAC,ii,23,0,7,16,0,,,,272,Wisconsin-Platteville,Wisconsin,iii,13,0,0,7,6,,,,,,
401431978,2022,1,regular,2022-09-01T22:00:00.000Z,false,false,false,,5220,Garrison Stadium,2804,Chowan,CIAA,ii,3,0,0,3,0,,,,122666,Barton College,South Atlantic,ii,17,7,3,0,7,,,,,,
401421137,2022,1,regular,2022-09-01T22:00:00.000Z,false,false,false,,3629,Barker-Lane Stadium,2097,Campbell,Big South,fcs,29,7,10,6,6,0.4490293170216029,,,2643,The Citadel,Southern,fcs,10,3,0,0,7,0.5509706829783971,,,2.5381447024,,
401416568,2022,1,regular,2022-09-01T22:00:00.000Z,false,false,false,,3768,Summa Field at InfoCision Stadium,2006,Akron,Mid-American,fbs,30,3,7,7,6,0.1525386772554026,1096,1096,2598,St Francis (PA),NEC,fcs,23,3,10,3,7,0.8474613227445974,,,12.0273396679,,
401428480,2022,1,regular,2022-09-01T22:00:00.000Z,false,false,false,,3979,Wagner College Stadium,2681,Wagner,NEC,fcs,31,7,14,7,3,0.021548552059047384,,,2230,Fordham,Patriot,fcs,48,7,7,20,14,0.9784514479409526,,,9.5471969422,,
401431571,2022,1,regular,2022-09-01T22:00:00.000Z,false,false,false,,3770,Jack Miller Stadium,308,Ashland,Great Midwest Athletic,ii,31,7,10,0,14,,,,587,Notre Dame College,Mountain East,ii,14,0,0,7,7,,,,,,
401431561,2022,1,regular,2022-09-01T22:00:00.000Z,false,false,false,,3885,Harvey Randall Wickes Memorial Stadium,129,Saginaw Valley,GLIAC,ii,72,20,17,7,28,,,,455,WV Wesleyan,Mountain East,ii,0,0,0,0,0,,,,,,
401418776,2022,1,regular,2022-09-01T22:00:00.000Z,false,false,false,,3829,Memorial Stadium,282,Indiana State,MVFC,fcs,17,3,3,0,8,0.7517577314415437,,,2453,North Alabama,Atlantic Sun,fcs,14,0,7,0,7,0.24824226855845632,,,13.4274129564,,
401432987,2022,1,regular,2022-09-01T22:30:00.000Z,false,false,false,,4436,Adamson Stadium,2858,California (PA),Pennsylvania State Athletic,ii,35,7,14,7,7,,,,2986,Fairmont State,Mountain East,ii,15,0,6,3,6,,,,,,
