game_id,team,offense.success_rate,offense.explosiveness,offense.rushing_plays.success_rate,offense.rushing_plays.explosiveness,offense.passing_plays.success_rate,offense.passing_plays.explosiveness,defense.ppa,defense.success_rate,defense.stuff_rate,defense.passing_downs.success_rate,defense.rushing_plays.success_rate,defense.passing_plays.success_rate,defense.passing_plays.explosiveness
401281942,Alabama,0.5,1.3573789107386853,0.4722222222222222,0.8462162624325653,0.525,1.7711772450817347,0.005617324633819418,0.36507936507936506,0.25925925925925924,0.23809523809523808,0.4074074074074074,0.3333333333333333,1.4332885446918315
401281942,Miami,0.36507936507936506,1.0441242206517853,0.4074074074074074,0.6195813216990078,0.3333333333333333,1.4332885446918315,0.3445710675917783,0.5,0.19444444444444445,0.42105263157894735,0.4722222222222222,0.525,1.7711772450817347
401281943,Arkansas,0.47692307692307695,1.058980836678344,0.5853658536585366,1.038048892239361,0.3181818181818182,1.1307475033262857,-0.09134093190550048,0.30666666666666664,0.2631578947368421,0.13333333333333333,0.23684210526315788,0.4,1.6022892784333185
401281943,Rice,0.30666666666666664,1.0976629945681595,0.23684210526315788,0.31268877522235694,0.4,1.6022892784333185,0.2395342679455557,0.47692307692307695,0.14634146341463414,0.45,0.5853658536585366,0.3181818181818182,1.1307475033262857
401281944,Akron,0.3287671232876712,1.4097444459943154,0.28125,1.2644216646975337,0.375,1.4969381147723844,0.7810934620469357,0.7096774193548387,0.02857142857142857,0.5,0.6857142857142857,0.7407407407407407,1.117946924739275
401281944,Auburn,0.7096774193548387,1.247167272345898,0.6857142857142857,1.354850895351417,0.7407407407407407,1.117946924739275,0.1871715510338093,0.3287671232876712,0.15625,0.2,0.28125,0.375,1.4969381147723844
401281945,Florida,0.5,1.2863375712152652,0.6222222222222222,1.3904583616983142,0.36363636363636365,1.0433890600881506,0.13479255390979838,0.373134328358209,0.13333333333333333,0.24,0.4,0.35135135135135137,1.6283974337824352
401281945,Florida Atlantic,0.373134328358209,1.332353934433799,0.4,1.0116401434727762,0.35135135135135137,1.6283974337824352,0.3170298418475457,0.5,0.022222222222222223,0.38461538461538464,0.6222222222222222,0.36363636363636365,1.0433890600881506
401281946,Clemson,0.26666666666666666,1.2620736820952099,0.125,0.327663056855151,0.3181818181818182,1.395560914272361,-0.021886403310349013,0.3442622950819672,0.16666666666666666,0.21052631578947367,0.4,0.2903225806451613,1.184969036650875
401281946,Georgia,0.3442622950819672,0.8187890872736986,0.4,0.5441541252408164,0.2903225806451613,1.184969036650875,-0.2845017320111353,0.26666666666666666,0.125,0.25925925925925924,0.125,0.3181818181818182,1.395560914272361
401281947,Kentucky,0.5,1.4756543746239834,0.4827586206896552,1.055438132643764,0.5135135135135135,1.7852873950304609,-0.2654205560467761,0.2222222222222222,0.35135135135135137,0.22580645161290322,0.1891891891891892,0.2692307692307692,1.2409442332515979
401281947,Louisiana Monroe,0.2222222222222222,1.2732043252776126,0.1891891891891892,1.3054644173036274,0.2692307692307692,1.2409442332515979,0.4249494337198351,0.5,0.034482758620689655,0.3,0.4827586206896552,0.5135135135135135,1.7852873950304609
401281948,LSU,0.4057971014492754,1.480325324142254,0.3181818181818182,1.100047717592531,0.44680851063829785,1.6070845263254951,0.3948687067282351,0.4603174603174603,0.2558139534883721,0.3181818181818182,0.4883720930232558,0.4,3.247863453249836
401281948,UCLA,0.4603174603174603,1.5941370685667617,0.4883720930232558,0.9641460648779715,0.4,3.247863453249836,0.19714015202950946,0.4057971014492754,0.13636363636363635,0.43478260869565216,0.3181818181818182,0.44680851063829785,1.6070845263254951
401281949,Louisiana Tech,0.35,1.6517757885060302,0.375,0.9166871056210742,0.34285714285714286,2.203092300669747,0.3419009713736605,0.578125,0.17647058823529413,0.3333333333333333,0.7058823529411765,0.5319148936170213,1.2467475923699243
401281949,Mississippi State,0.578125,1.1291308940092843,0.7058823529411765,0.8840961057579511,0.5319148936170213,1.2467475923699243,0.2152868898156102,0.35,0.16666666666666666,0.2631578947368421,0.375,0.34285714285714286,2.203092300669747
401281950,Central Michigan,0.39285714285714285,1.641278815494913,0.4827586206896552,1.5861596708906485,0.3584905660377358,1.6818929220454237,0.13462069973997218,0.39705882352941174,0.3235294117647059,0.16666666666666666,0.4117647058823529,0.38235294117647056,1.6162599728148723
401281950,Missouri,0.39705882352941174,1.4030947617366032,0.4117647058823529,1.205155637163925,0.38235294117647056,1.6162599728148723,0.23402785407451834,0.39285714285714285,0.20689655172413793,0.36363636363636365,0.4827586206896552,0.3584905660377358,1.6818929220454237
401281951,Eastern Illinois,0.3333333333333333,0.8431739476670912,0.25,0.694119388434045,0.42857142857142855,0.9259820361298946,0.3486623565779289,0.5205479452054794,0.13333333333333333,0.4444444444444444,0.5111111111111111,0.5357142857142857,1.6606643210525858
401281951,South Carolina,0.5205479452054794,1.126347390401033,0.5111111111111111,0.7778798269326292,0.5357142857142857,1.6606643210525858,-0.40207730640858225,0.3333333333333333,0.2,0.16666666666666666,0.25,0.42857142857142855,0.9259820361298946
401281952,Bowling Green,0.36666666666666664,0.848854372574451,0.3333333333333333,0.4831217467549112,0.38461538461538464,1.0195295979569028,0.1932799866829085,0.5172413793103449,0.03278688524590164,0.15789473684210525,0.6065573770491803,0.3076923076923077,1.3177315655687734
401281952,Tennessee,0.5172413793103449,0.9027441488553033,0.6065573770491803,0.8130171398361746,0.3076923076923077,1.3177315655687734,-0.03038515294769612,0.36666666666666664,0.19047619047619047,0.19047619047619047,0.3333333333333333,0.38461538461538464,1.0195295979569028
