id,season,neutral_site,home_team_x,home_conference,home_points,home_pregame_elo,away_team_x,away_conference,away_points,away_pregame_elo,spread,margin
400763593,2015,False,UCF,American Athletic,14.0,1626.0,Florida International,Conference USA,15.0,1321.0,-17.0,1.0
400603840,2015,True,South Carolina,SEC,17.0,1646.0,North Carolina,ACC,13.0,1477.0,-3.5,-4.0
400763399,2015,False,Central Michigan,Mid-American,13.0,1417.0,Oklahoma State,Big 12,24.0,1567.0,20.5,11.0
400603839,2015,False,Vanderbilt,SEC,12.0,1365.0,Western Kentucky,Conference USA,14.0,1521.0,-17.5,2.0
400756883,2015,False,Utah,Pac-12,24.0,1603.0,Michigan,Big Ten,17.0,1553.0,-3.0,-7.0
400787302,2015,False,Idaho,Sun Belt,28.0,1167.0,Ohio,Mid-American,45.0,1321.0,7.0,17.0
400763398,2015,False,Minnesota,Big Ten,17.0,1633.0,TCU,Big 12,23.0,1963.0,16.0,6.0
400756894,2015,False,Tulane,American Athletic,7.0,1311.0,Duke,ACC,37.0,1572.0,13.5,30.0
400756882,2015,False,Arizona,Pac-12,42.0,1649.0,UT San Antonio,Conference USA,32.0,1294.0,-30.5,-10.0
400787107,2015,False,Hawai'i,Mountain West,28.0,1347.0,Colorado,Pac-12,20.0,1357.0,-2.5,-8.0
400763587,2015,False,Georgia State,Sun Belt,20.0,1092.0,Charlotte,Conference USA,23.0,1500.0,-4.0,3.0
400763470,2015,False,Western Michigan,Mid-American,24.0,1444.0,Michigan State,Big Ten,37.0,1850.0,23.5,13.0
400764855,2015,False,SMU,American Athletic,21.0,1147.0,Baylor,Big 12,56.0,1874.0,20.0,35.0
400756888,2015,False,Boise State,Mountain West,16.0,1716.0,Washington,Pac-12,13.0,1625.0,-11.0,-3.0
400603831,2015,False,Georgia,SEC,51.0,1856.0,Louisiana Monroe,Sun Belt,14.0,1312.0,-31.0,-37.0
400756891,2015,False,Northwestern,Big Ten,16.0,1482.0,Stanford,Pac-12,6.0,1747.0,10.0,-10.0
400763495,2015,False,Nebraska,Big Ten,28.0,1673.0,BYU,FBS Independents,33.0,1569.0,-7.5,5.0
400603829,2015,True,Auburn,SEC,31.0,1732.0,Louisville,ACC,24.0,1682.0,-10.5,-7.0
400756904,2015,False,UCLA,Pac-12,34.0,1690.0,Virginia,ACC,16.0,1494.0,-14.5,-18.0
400763592,2015,False,Tulsa,American Athletic,47.0,1285.0,Florida Atlantic,Conference USA,44.0,1311.0,-21.0,-3.0
400763588,2015,False,Eastern Michigan,Mid-American,34.0,1027.0,Old Dominion,Conference USA,38.0,1295.0,-7.0,4.0
400763497,2015,False,Temple,American Athletic,27.0,1489.0,Penn State,Big Ten,10.0,1556.0,14.0,-17.0
400603828,2015,False,Arkansas,SEC,48.0,1741.0,UTEP,Conference USA,13.0,1359.0,-35.0,-35.0
400834350,2015,True,Tennessee,SEC,59.0,1613.0,Bowling Green,Mid-American,30.0,1379.0,-17.0,-29.0
400756901,2015,False,NC State,ACC,49.0,1543.0,Troy,Sun Belt,21.0,1210.0,-23.0,-28.0
400603838,2015,True,Texas A&M,SEC,38.0,1628.0,Arizona State,Pac-12,17.0,1683.0,-3.0,-21.0
400763404,2015,False,Oklahoma,Big 12,41.0,1664.0,Akron,Mid-American,3.0,1314.0,-38.0,-38.0
400763407,2015,False,West Virginia,Big 12,44.0,1590.0,Georgia Southern,Sun Belt,0.0,1491.0,-38.0,-44.0
400787115,2015,False,Northern Illinois,Mid-American,38.0,1513.0,UNLV,Mountain West,30.0,1233.0,-16.0,-8.0
400763403,2015,False,Notre Dame,FBS Independents,38.0,1595.0,Texas,Big 12,3.0,1564.0,-9.0,-35.0
400603830,2015,False,Florida,SEC,61.0,1661.0,New Mexico State,Sun Belt,13.0,1100.0,-38.0,-48.0
400603827,2015,True,Alabama,SEC,35.0,1920.0,Wisconsin,Big Ten,17.0,1731.0,-10.0,-18.0
400756899,2015,False,Florida State,ACC,59.0,1779.0,Texas State,Sun Belt,16.0,1379.0,-37.0,-43.0
400603836,2015,False,Southern Mississippi,Conference USA,16.0,1177.0,Mississippi State,SEC,34.0,1759.0,13.0,18.0
400756884,2015,False,USC,Pac-12,55.0,1747.0,Arkansas State,Sun Belt,6.0,1473.0,-27.0,-49.0
400763498,2015,False,Marshall,Conference USA,41.0,1749.0,Purdue,Big Ten,31.0,1350.0,2.5,-10.0
400756905,2015,False,Virginia Tech,ACC,24.0,1574.0,Ohio State,Big Ten,42.0,2033.0,14.0,18.0
400763599,2015,False,Western Kentucky,Conference USA,41.0,1515.0,Louisiana Tech,Conference USA,38.0,1701.0,-3.0,-3.0
400756912,2015,False,Florida Atlantic,Conference USA,20.0,1310.0,Miami,ACC,44.0,1589.0,16.5,24.0
400787981,2015,False,Utah,Pac-12,24.0,1610.0,Utah State,Mountain West,14.0,1572.0,-11.0,-10.0
400792601,2015,False,Florida State,ACC,34.0,1852.0,South Florida,American Athletic,14.0,1336.0,-29.0,-20.0
400763508,2015,False,Wisconsin,Big Ten,58.0,1702.0,Miami (OH),Mid-American,0.0,1217.0,-33.0,-58.0
400763414,2015,False,UT San Antonio,Conference USA,3.0,1301.0,Kansas State,Big 12,30.0,1749.0,22.5,27.0
400763502,2015,False,Maryland,Big Ten,27.0,1495.0,Bowling Green,Mid-American,48.0,1322.0,-10.0,21.0
400757019,2015,False,Michigan,Big Ten,35.0,1546.0,Oregon State,Pac-12,7.0,1459.0,-14.0,-28.0
400756911,2015,False,Louisville,ACC,31.0,1670.0,Houston,American Athletic,34.0,1563.0,-12.5,3.0
400763506,2015,False,Penn State,Big Ten,27.0,1512.0,Buffalo,Mid-American,14.0,1402.0,-16.5,-13.0
400760492,2015,False,Connecticut,American Athletic,22.0,1259.0,Army,FBS Independents,17.0,1290.0,-6.5,-5.0
400756907,2015,False,Clemson,ACC,41.0,1768.0,Appalachian State,Sun Belt,10.0,1483.0,-21.0,-31.0
400756916,2015,False,Syracuse,ACC,30.0,1427.0,Wake Forest,ACC,17.0,1325.0,-5.5,-13.0
400757016,2015,False,Colorado,Pac-12,48.0,1344.0,UMass,Mid-American,14.0,1240.0,-16.0,-34.0
400763415,2015,False,Texas Tech,Big 12,69.0,1405.0,UTEP,Conference USA,20.0,1308.0,-16.5,-49.0
400763416,2015,False,West Virginia,Big 12,41.0,1707.0,Liberty,Big South,17.0,1451.0,-40.0,-24.0
400603866,2015,False,Ole Miss,SEC,73.0,1687.0,Fresno State,Mountain West,21.0,1387.0,-23.0,-52.0
400757021,2015,False,Rutgers,Big Ten,34.0,1477.0,Washington State,Pac-12,37.0,1421.0,-5.5,3.0
400756910,2015,False,Georgia Tech,ACC,65.0,1781.0,Tulane,American Athletic,10.0,1259.0,-26.0,-55.0
400603870,2015,False,Vanderbilt,SEC,14.0,1371.0,Georgia,SEC,31.0,1894.0,17.0,17.0
400756917,2015,False,Virginia,ACC,27.0,1472.0,Notre Dame,FBS Independents,34.0,1689.0,11.5,7.0
400763505,2015,False,Ohio State,Big Ten,38.0,2032.0,Hawai'i,Mountain West,0.0,1360.0,-38.0,-38.0
400763499,2015,False,Colorado State,Mountain West,20.0,1535.0,Minnesota,Big Ten,23.0,1645.0,5.0,3.0
400603860,2015,False,Alabama,SEC,37.0,1949.0,Middle Tennessee,Conference USA,10.0,1375.0,-34.0,-27.0
400787119,2015,False,Wyoming,Mountain West,29.0,1294.0,Eastern Michigan,Mid-American,48.0,1037.0,-11.0,19.0
400603861,2015,False,Arkansas,SEC,12.0,1792.0,Toledo,Mid-American,16.0,1516.0,-21.0,4.0
400763409,2015,False,Iowa State,Big 12,17.0,1337.0,Iowa,Big Ten,31.0,1566.0,4.0,14.0
400757022,2015,False,California,Pac-12,35.0,1417.0,San Diego State,Mountain West,7.0,1506.0,-9.0,-28.0
400756915,2015,False,Akron,Mid-American,7.0,1250.0,Pittsburgh,ACC,24.0,1531.0,11.5,17.0
400787308,2015,False,Georgia Southern,Sun Belt,43.0,1374.0,Western Michigan,Mid-American,17.0,1451.0,4.5,-26.0
400603868,2015,False,Tennessee,SEC,24.0,1670.0,Oklahoma,Big 12,31.0,1728.0,3.0,7.0
400603869,2015,False,Texas A&M,SEC,56.0,1692.0,Ball State,Mid-American,23.0,1443.0,-26.0,-33.0
400763410,2015,False,Kansas,Big 12,23.0,1310.0,Memphis,American Athletic,55.0,1603.0,10.5,32.0
400603862,2015,False,Arkansas State,Sun Belt,20.0,1363.0,Missouri,SEC,27.0,1701.0,13.0,7.0
400603864,2015,False,Florida,SEC,31.0,1730.0,East Carolina,American Athletic,24.0,1594.0,-13.0,-7.0
400763595,2015,False,Ohio,Mid-American,21.0,1346.0,Marshall,Conference USA,10.0,1740.0,4.0,-11.0
400756892,2015,False,Nevada,Mountain West,20.0,1443.0,Arizona,Pac-12,44.0,1642.0,10.5,24.0
400603867,2015,False,South Carolina,SEC,22.0,1646.0,Kentucky,SEC,26.0,1414.0,-7.5,4.0
400787415,2015,False,New Mexico State,Sun Belt,32.0,1031.0,Georgia State,Sun Belt,34.0,1110.0,-4.0,2.0
400763413,2015,False,Texas,Big 12,42.0,1470.0,Rice,Conference USA,28.0,1473.0,-16.0,-14.0
400764863,2015,False,New Mexico,Mountain West,21.0,1304.0,Tulsa,American Athletic,40.0,1286.0,-3.0,19.0
400763503,2015,False,Nebraska,Big Ten,48.0,1657.0,South Alabama,Sun Belt,9.0,1371.0,-27.0,-39.0
400763501,2015,False,Indiana,Big Ten,36.0,1413.0,Florida International,Conference USA,22.0,1338.0,-7.5,-14.0
400764862,2015,False,Cincinnati,American Athletic,26.0,1583.0,Temple,American Athletic,34.0,1533.0,-6.5,8.0
400757014,2015,False,USC,Pac-12,59.0,1857.0,Idaho,Sun Belt,9.0,1142.0,-43.5,-50.0
400603865,2015,False,Mississippi State,SEC,19.0,1748.0,LSU,SEC,21.0,1711.0,3.0,2.0
400787118,2015,False,BYU,FBS Independents,35.0,1585.0,Boise State,Mountain West,24.0,1716.0,1.5,-11.0
400787117,2015,False,Air Force,Mountain West,37.0,1455.0,San José State,Mountain West,16.0,1282.0,-7.0,-21.0
400757015,2015,False,UNLV,Mountain West,3.0,1237.0,UCLA,Pac-12,37.0,1712.0,28.0,34.0
400757023,2015,False,Stanford,Pac-12,31.0,1709.0,UCF,American Athletic,7.0,1609.0,-16.0,-24.0
400756920,2015,False,Boston College,ACC,0.0,1531.0,Florida State,ACC,14.0,1851.0,10.5,14.0
400787241,2015,False,Arizona State,Pac-12,34.0,1619.0,New Mexico,Mountain West,10.0,1255.0,-24.0,-24.0
400763513,2015,False,Minnesota,Big Ten,10.0,1643.0,Kent State,Mid-American,7.0,1142.0,-23.0,-3.0
400763511,2015,False,Michigan,Big Ten,28.0,1609.0,UNLV,Mountain West,7.0,1198.0,-34.0,-21.0
400763510,2015,False,Maryland,Big Ten,35.0,1420.0,South Florida,American Athletic,17.0,1337.0,-7.5,-18.0
400763418,2015,False,Oklahoma,Big 12,52.0,1737.0,Tulsa,American Athletic,38.0,1335.0,-33.0,-14.0
400763512,2015,False,Michigan State,Big Ten,35.0,1845.0,Air Force,Mountain West,21.0,1487.0,-27.5,-14.0
400603856,2015,False,Missouri,SEC,9.0,1690.0,Connecticut,American Athletic,6.0,1265.0,-24.0,-3.0
400603858,2015,False,Texas A&M,SEC,44.0,1752.0,Nevada,Mountain West,27.0,1402.0,-25.0,-17.0
400756930,2015,False,Army,FBS Independents,14.0,1284.0,Wake Forest,ACC,17.0,1308.0,2.0,3.0
400756924,2015,False,North Carolina,ACC,48.0,1477.0,Illinois,Big Ten,14.0,1537.0,-7.0,-34.0
400756921,2015,False,Duke,ACC,10.0,1624.0,Northwestern,Big Ten,19.0,1520.0,-2.5,9.0
400756927,2015,False,Syracuse,ACC,30.0,1444.0,Central Michigan,Mid-American,27.0,1407.0,-6.0,-3.0
400757030,2015,False,Oregon,Pac-12,61.0,1934.0,Georgia State,Sun Belt,28.0,1108.0,-48.5,-33.0
400763605,2015,False,North Texas,Conference USA,24.0,1271.0,Rice,Conference USA,38.0,1444.0,6.0,14.0
400763417,2015,False,Kansas State,Big 12,39.0,1771.0,Louisiana Tech,Conference USA,33.0,1697.0,-11.0,-6.0
400764864,2015,False,Bowling Green,Mid-American,41.0,1397.0,Memphis,American Athletic,44.0,1657.0,4.0,3.0
400764869,2015,False,UMass,Mid-American,23.0,1159.0,Temple,American Athletic,25.0,1553.0,9.0,2.0
400787311,2015,False,Eastern Michigan,Mid-American,17.0,1115.0,Ball State,Mid-American,28.0,1383.0,6.0,11.0
400764865,2015,False,Miami (OH),Mid-American,33.0,1106.0,Cincinnati,American Athletic,37.0,1563.0,19.0,4.0
400756923,2015,False,Miami,ACC,36.0,1621.0,Nebraska,Big Ten,33.0,1732.0,-4.5,-3.0
400763516,2015,False,Wisconsin,Big Ten,28.0,1813.0,Troy,Sun Belt,3.0,1174.0,-35.0,-25.0
400763419,2015,False,Oklahoma State,Big 12,69.0,1577.0,UT San Antonio,Conference USA,14.0,1279.0,-24.5,-55.0
400763514,2015,False,Ohio State,Big Ten,20.0,2059.0,Northern Illinois,Mid-American,13.0,1509.0,-31.5,-7.0
