id,season,week,home_team_x,home_points,away_team_x,away_points,homewin,cnt
401012334.0,2018.0,11.0,Georgia,27.0,Auburn,10.0,True,2
401012278.0,2018.0,3.0,Mississippi State,56.0,Louisiana,10.0,True,2
400763573.0,2015.0,12.0,Ohio State,14.0,Michigan State,17.0,False,2
400764870.0,2015.0,4.0,Memphis,53.0,Cincinnati,46.0,True,2
401119312.0,2019.0,14.0,Buffalo,49.0,Bowling Green,7.0,True,2
401249429.0,2020.0,15.0,Arizona,7.0,Arizona State,70.0,False,2
401249877.0,2020.0,13.0,Buffalo,70.0,Kent State,41.0,True,2
400938639.0,2017.0,8.0,Florida Atlantic,69.0,North Texas,31.0,True,2
400869132.0,2016.0,6.0,USC,21.0,Colorado,17.0,True,2
400934517.0,2017.0,3.0,Akron,14.0,Iowa State,41.0,False,2
401119301.0,2019.0,12.0,Miami (OH),44.0,Bowling Green,3.0,True,2
400869473.0,2016.0,9.0,Florida State,34.0,Clemson,37.0,False,2
401013189.0,2018.0,9.0,Navy,22.0,Notre Dame,44.0,False,2
401238036.0,2020.0,8.0,UAB,20.0,Louisiana,24.0,False,2
401114270.0,2019.0,5.0,North Texas,25.0,Houston,46.0,False,2
400944996.0,2017.0,7.0,Buffalo,13.0,Northern Illinois,14.0,False,2
400869104.0,2016.0,2.0,Oregon,44.0,Virginia,26.0,True,2
401021688.0,2018.0,11.0,Coastal Carolina,16.0,Arkansas State,44.0,False,2
401013359.0,2018.0,3.0,Florida International,63.0,UMass,24.0,True,2
400945261.0,2017.0,4.0,Wyoming,28.0,Hawai'i,21.0,True,2
401119266.0,2019.0,4.0,Kent State,62.0,Bowling Green,20.0,True,2
400869013.0,2016.0,5.0,Georgia,31.0,Tennessee,34.0,False,2
400763577.0,2015.0,13.0,Illinois,14.0,Northwestern,24.0,False,2
401215334.0,2020.0,12.0,Texas State,47.0,Arkansas State,45.0,True,2
401112462.0,2019.0,4.0,Syracuse,52.0,Western Michigan,33.0,True,2
400981508.0,2017.0,7.0,Miami,25.0,Georgia Tech,24.0,True,2
401012769.0,2018.0,8.0,UCLA,31.0,Arizona,30.0,True,2
400869720.0,2016.0,3.0,Appalachian State,10.0,Miami,45.0,False,2
401215320.0,2020.0,9.0,Arkansas State,10.0,Troy,38.0,False,2
401012335.0,2018.0,11.0,Missouri,33.0,Vanderbilt,28.0,True,2
401117865.0,2019.0,3.0,South Alabama,6.0,Memphis,42.0,False,2
401411162.0,2022.0,11.0,Syracuse,,Florida State,,True,2
401013184.0,2018.0,13.0,Boston College,21.0,Syracuse,42.0,False,2
401247347.0,2020.0,15.0,Iowa,28.0,Wisconsin,7.0,True,2
401207179.0,2020.0,11.0,UT San Antonio,52.0,UTEP,21.0,True,2
401117500.0,2019.0,2.0,Texas State,14.0,Wyoming,23.0,False,2
401236939.0,2020.0,3.0,Marshall,17.0,Appalachian State,7.0,True,2
401114328.0,2019.0,6.0,Army,33.0,Tulane,42.0,False,2
401114291.0,2019.0,8.0,UAB,38.0,Old Dominion,14.0,True,2
400869198.0,2016.0,3.0,Central Michigan,44.0,UNLV,21.0,True,2
401114325.0,2019.0,14.0,North Texas,21.0,UAB,26.0,False,2
401114219.0,2019.0,3.0,BYU,30.0,USC,27.0,True,2
401207166.0,2020.0,9.0,Southern Mississippi,6.0,Rice,30.0,False,2
401234620.0,2020.0,8.0,Miami,19.0,Virginia,14.0,True,2
401114221.0,2019.0,5.0,Washington,28.0,USC,14.0,True,2
400933876.0,2017.0,5.0,Kentucky,24.0,Eastern Michigan,20.0,True,2
400787336.0,2015.0,8.0,Ball State,21.0,Central Michigan,23.0,False,2
400869008.0,2016.0,4.0,Texas A&M,45.0,Arkansas,24.0,True,2
401019527.0,2018.0,11.0,Houston,49.0,Temple,59.0,False,2
400603856.0,2015.0,3.0,Missouri,9.0,Connecticut,6.0,True,2
401215317.0,2020.0,8.0,Troy,34.0,Georgia State,36.0,False,2
400763456.0,2015.0,11.0,TCU,23.0,Kansas,17.0,True,2
400944868.0,2017.0,10.0,Georgia Southern,17.0,Georgia State,21.0,False,2
401215333.0,2020.0,12.0,Coastal Carolina,34.0,Appalachian State,23.0,True,2
401012283.0,2018.0,3.0,Notre Dame,22.0,Vanderbilt,17.0,True,2
