id,season,home_team_x,home_points,away_team_x,away_points
400757014.0,2015.0,USC,59.0,Idaho,9.0
400763501.0,2015.0,Indiana,36.0,Florida International,22.0
400763501.0,2015.0,Indiana,36.0,Florida International,22.0
400763413.0,2015.0,Texas,42.0,Rice,28.0
400763413.0,2015.0,Texas,42.0,Rice,28.0
400763503.0,2015.0,Nebraska,48.0,South Alabama,9.0
400763503.0,2015.0,Nebraska,48.0,South Alabama,9.0
400787118.0,2015.0,BYU,35.0,Boise State,24.0
400787118.0,2015.0,BYU,35.0,Boise State,24.0
400787117.0,2015.0,Air Force,37.0,San José State,16.0
400787117.0,2015.0,Air Force,37.0,San José State,16.0
400757023.0,2015.0,Stanford,31.0,UCF,7.0
400757023.0,2015.0,Stanford,31.0,UCF,7.0
400787241.0,2015.0,Arizona State,34.0,New Mexico,10.0
400787241.0,2015.0,Arizona State,34.0,New Mexico,10.0
400603856.0,2015.0,Missouri,9.0,Connecticut,6.0
400603856.0,2015.0,Missouri,9.0,Connecticut,6.0
400756924.0,2015.0,North Carolina,48.0,Illinois,14.0
400756924.0,2015.0,North Carolina,48.0,Illinois,14.0
400763511.0,2015.0,Michigan,28.0,UNLV,7.0
400763511.0,2015.0,Michigan,28.0,UNLV,7.0
400763510.0,2015.0,Maryland,35.0,South Florida,17.0
400763510.0,2015.0,Maryland,35.0,South Florida,17.0
400763418.0,2015.0,Oklahoma,52.0,Tulsa,38.0
400763418.0,2015.0,Oklahoma,52.0,Tulsa,38.0
400763512.0,2015.0,Michigan State,35.0,Air Force,21.0
400763512.0,2015.0,Michigan State,35.0,Air Force,21.0
400763513.0,2015.0,Minnesota,10.0,Kent State,7.0
400763513.0,2015.0,Minnesota,10.0,Kent State,7.0
400603858.0,2015.0,Texas A&M,44.0,Nevada,27.0
400603858.0,2015.0,Texas A&M,44.0,Nevada,27.0
400756927.0,2015.0,Syracuse,30.0,Central Michigan,27.0
400756927.0,2015.0,Syracuse,30.0,Central Michigan,27.0
400757030.0,2015.0,Oregon,61.0,Georgia State,28.0
400757030.0,2015.0,Oregon,61.0,Georgia State,28.0
400763417.0,2015.0,Kansas State,39.0,Louisiana Tech,33.0
400763417.0,2015.0,Kansas State,39.0,Louisiana Tech,33.0
