id,season,week,start_date,venue,home_team,home_points,away_team,away_conference,away_points
401212515,2020,6,2020-10-10T22:00:00.000Z,Navy-Marine Corps Memorial Stadium,Navy,31.0,Temple,American Athletic,29.0
401212477,2020,6,2020-10-10T23:00:00.000Z,Raymond James Stadium,South Florida,24.0,East Carolina,American Athletic,44.0
401237104,2020,6,2020-10-10T23:30:00.000Z,Commonwealth Stadium,Kentucky,24.0,Mississippi State,SEC,2.0
401207146,2020,6,2020-10-10T23:30:00.000Z,Houchens Industries-L. T. Smith Stadium,Western Kentucky,14.0,Marshall,Conference USA,38.0
401234606,2020,6,2020-10-10T23:30:00.000Z,Notre Dame Stadium,Notre Dame,42.0,Florida State,ACC,26.0
401234604,2020,6,2020-10-10T23:30:00.000Z,Memorial Stadium,Clemson,42.0,Miami,ACC,17.0
401237100,2020,6,2020-10-10T23:30:00.000Z,Vaught-Hemingway Stadium,Ole Miss,48.0,Alabama,SEC,63.0
401207145,2020,6,2020-10-10T23:30:00.000Z,Joe Aillet Stadium,Louisiana Tech,21.0,UTEP,Conference USA,17.0
401207142,2020,6,2020-10-11T00:00:00.000Z,Apogee Stadium,North Texas,21.0,Charlotte,Conference USA,49.0
401215311,2020,7,2020-10-14T23:30:00.000Z,Cajun Field,Louisiana,27.0,Coastal Carolina,Sun Belt,30.0
401215310,2020,7,2020-10-15T23:30:00.000Z,Centennial Bank Stadium,Arkansas State,59.0,Georgia State,Sun Belt,52.0
401212487,2020,7,2020-10-16T22:00:00.000Z,Benson Field at Yulman Stadium,Tulane,34.0,SMU,American Athletic,37.0
401212551,2020,7,2020-10-17T01:30:00.000Z,LaVell Edwards Stadium,Houston,26.0,BYU,FBS Independents,43.0
401215313,2020,7,2020-10-17T16:00:00.000Z,Hancock Whitney Stadium,South Alabama,30.0,Texas State,Sun Belt,20.0
401234614,2020,7,2020-10-17T16:00:00.000Z,Hard Rock Stadium,Miami,31.0,Pittsburgh,ACC,19.0
401237111,2020,7,2020-10-17T16:00:00.000Z,Neyland Stadium,Tennessee,7.0,Kentucky,SEC,34.0
401234615,2020,7,2020-10-17T16:00:00.000Z,Carrier Dome,Syracuse,21.0,Liberty,FBS Independents,38.0
401234610,2020,7,2020-10-17T16:00:00.000Z,Bobby Dodd Stadium at Historic Grant Field,Georgia Tech,7.0,Clemson,ACC,73.0
401212478,2020,7,2020-10-17T16:00:00.000Z,Lincoln Financial Field,Temple,39.0,South Florida,American Athletic,37.0
401236007,2020,7,2020-10-17T16:00:00.000Z,Mountaineer Field at Milan Puskar Stadium,West Virginia,38.0,Kansas,Big 12,17.0
401237109,2020,7,2020-10-17T16:00:00.000Z,Williams-Brice Stadium,South Carolina,30.0,Auburn,SEC,22.0
401212548,2020,7,2020-10-17T16:00:00.000Z,Dowdy-Ficklen Stadium,East Carolina,23.0,Navy,American Athletic,27.0
401240115,2020,7,2020-10-17T17:30:00.000Z,Alamodome,UT San Antonio,16.0,Army,FBS Independents,28.0
401207153,2020,7,2020-10-17T17:30:00.000Z,Legion Field,UAB,37.0,Western Kentucky,Conference USA,14.0
401240034,2020,7,2020-10-17T18:00:00.000Z,Braly Municipal Stadium,North Alabama,17.0,Jacksonville State,OVC,24.0
401234613,2020,7,2020-10-17T18:30:00.000Z,Notre Dame Stadium,Notre Dame,12.0,Louisville,ACC,7.0
401237108,2020,7,2020-10-17T19:30:00.000Z,Donald W. Reynolds Razorback Stadium Frank Broyles Field,Arkansas,33.0,Ole Miss,SEC,21.0
401239872,2020,7,2020-10-17T19:30:00.000Z,Veterans Memorial Stadium,Troy,31.0,Eastern Kentucky,OVC,29.0
401234611,2020,7,2020-10-17T19:30:00.000Z,Carter-Finley Stadium,NC State,31.0,Duke,ACC,20.0
401212537,2020,7,2020-10-17T19:30:00.000Z,Liberty Bowl Memorial Stadium,Memphis,50.0,UCF,American Athletic,49.0
